"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,548,513,1061,96,87,183
Aragón,14,16,30,1,1,2
"Asturias, Principado de",15,15,30,16,17,33
"Balears, Illes",32,15,47,14,18,32
Canarias,55,67,122,22,14,36
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,103,117,220,75,56,131
Catalunya,161,198,359,38,27,65
Ceuta*,,,,,,
Comunitat Valenciana,140,162,302,93,64,157
Extremadura,29,28,57,8,6,14
Galicia,21,33,54,5,3,8
"Madrid, Comunidad de",417,464,881,169,121,290
Melilla,,,,,,
"Murcia, Región de",71,69,140,24,19,43
"Navarra, Comunidad Foral de",93,107,200,43,29,72
País Vasco,129,131,260,18,19,37
"Rioja, La",33,23,56,19,11,30
TOTAL,1.861,1.958,3.819,641,492,1.133
