"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,516","0,532","0,523","0,519","0,522"
Aragón,"0,175","0,145","0,144","0,135","0,105"
"Asturias, Principado de","0,329","0,311","0,274","0,285","0,306"
"Balears, Illes","0,261","0,386","0,412","0,396","0,377"
Canarias,"0,204","0,193","0,172","0,161","0,151"
Castilla y León,"0,636","0,666","0,644","0,650","0,641"
Catalunya,"0,237","0,271","0,316","0,346","0,372"
Comunitat Valenciana,"0,515","0,522","0,511","0,497","0,474"
Extremadura,"0,492","0,467","0,422","0,339","0,293"
Galicia,"0,476","0,481","0,459","0,463","0,463"
"Madrid, Comunidad de","0,411","0,403","0,432","0,440","0,416"
Melilla,"0,118","0,118","0,118","0,118","0,119"
"Murcia, Región de","0,353","0,352","0,390","0,385","0,363"
"Navarra, Comunidad Foral de","0,422","0,419","0,354","0,350","0,289"
País Vasco,"0,083","0,134","0,165","0,196","0,201"
"Rioja, La","0,160","0,224","0,287","0,285","0,253"
