"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,137","0,140","0,141","0,145","0,141"
Aragón,,,,,
"Asturias, Principado de",,,,,
"Balears, Illes","0,000","0,000","0,000","0,000","0,000"
Canarias,"0,009","0,009","0,014","0,013","0,018"
Castilla y León,"0,004","0,004","0,008","0,012","0,013"
Catalunya,"0,024","0,029","0,033","0,039","0,043"
Comunitat Valenciana,"0,026","0,026","0,026","0,026","0,028"
Extremadura,"0,065","0,056","0,056","0,057","0,057"
Galicia,"0,015","0,018","0,019","0,019","0,019"
"Madrid, Comunidad de","0,083","0,092","0,096","0,104","0,108"
Melilla,,,,,
"Murcia, Región de","0,095","0,129","0,148","0,153","0,159"
"Navarra, Comunidad Foral de","0,109","0,109","0,108","0,107","0,106"
País Vasco,"0,005","0,018","0,028","0,041","0,046"
"Rioja, La","0,576","0,575","0,574","0,570","0,569"
