"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,303","0,325","0,344","0,357","0,363"
Aragón,,,,,
"Asturias, Principado de","0,068","0,068","0,078","0,079","0,079"
"Balears, Illes","0,096","0,154","0,151","0,149","0,148"
Canarias,"0,097","0,110","0,113","0,112","0,111"
Castilla y León,"0,107","0,116","0,116","0,121","0,126"
Catalunya,"0,163","0,166","0,169","0,167","0,168"
Comunitat Valenciana,"0,065","0,071","0,072","0,074","0,073"
Extremadura,"0,084","0,084","0,084","0,075","0,066"
Galicia,"0,055","0,059","0,059","0,063","0,063"
"Madrid, Comunidad de","0,150","0,169","0,199","0,196","0,194"
Melilla,,,,,
"Murcia, Región de","0,163","0,156","0,161","0,153","0,152"
"Navarra, Comunidad Foral de","0,234","0,233","0,231","0,228","0,228"
País Vasco,"0,028","0,037","0,055","0,055","0,055"
"Rioja, La","0,064","0,128","0,159","0,158","0,190"
