"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,115","0,124","0,140","0,159","0,169"
Aragón,"0,038","0,038","0,038","0,045","0,045"
"Asturias, Principado de","0,048","0,049","0,068","0,059","0,049"
"Balears, Illes",,,,"0,041","0,041"
Canarias,"0,093","0,092","0,100","0,121","0,125"
Castilla y León,"0,123","0,128","0,129","0,137","0,142"
Catalunya,"0,117","0,120","0,130","0,139","0,141"
Comunitat Valenciana,"0,101","0,109","0,129","0,131","0,129"
Extremadura,"0,056","0,056","0,066","0,066","0,066"
Galicia,"0,059","0,070","0,078","0,089","0,089"
"Madrid, Comunidad de","0,068","0,064","0,099","0,108","0,110"
Melilla,,,,,
"Murcia, Región de","0,163","0,183","0,188","0,213","0,218"
"Navarra, Comunidad Foral de","0,141","0,155","0,154","0,152","0,152"
País Vasco,"0,005","0,014","0,028","0,041","0,046"
"Rioja, La","0,000","0,000","0,000","0,032","0,000"
