"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,253","0,266","0,275","0,283","0,294"
Aragón,"0,099","0,107","0,129","0,128","0,128"
"Asturias, Principado de","0,058","0,058","0,059","0,059","0,059"
"Balears, Illes","0,087","0,146","0,160","0,173","0,172"
Canarias,"0,125","0,129","0,122","0,125","0,129"
Castilla y León,"0,119","0,120","0,125","0,133","0,138"
Catalunya,"0,136","0,142","0,141","0,154","0,158"
Comunitat Valenciana,"0,186","0,188","0,191","0,197","0,214"
Extremadura,"0,046","0,075","0,084","0,094","0,104"
Galicia,"0,151","0,152","0,152","0,152","0,152"
"Madrid, Comunidad de","0,278","0,286","0,321","0,336","0,343"
Melilla,,,,,
"Murcia, Región de","0,441","0,441","0,437","0,432","0,423"
"Navarra, Comunidad Foral de","0,437","0,435","0,431","0,411","0,411"
País Vasco,"0,032","0,088","0,124","0,137","0,156"
"Rioja, La","0,096","0,096","0,096","0,095","0,095"
