Enfermedad,Grupos de Edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,"sám
y
58",
"Ataxia de
Friedreich",0,0,3,15,25,34,35,35,50,68,64,78,57,61,39,24,18,10,7,623
"Atrofia muscular
espinal proximal",3,65,62,66,72,31,32,32,32,26,33,27,18,23,13,5,5,7,1,553
"Complejo
Esclerosis
Tuberosa",9,56,131,162,155,154,127,167,225,249,188,168,103,73,52,41,21,12,4,2.097
Displasia Renal,27,327,484,430,227,122,50,58,42,38,24,17,18,13,13,13,13,15,6,1.937
"Distrofia
miotónica de
Steinert",4,19,49,82,114,150,169,220,338,527,532,510,425,291,176,112,62,31,8,3.819
"Enfermedad de
Fabry",0,2,9,18,25,13,17,33,30,42,60,52,61,38,22,24,14,8,5,473
"Enfermedad de
Gaucher",0,4,12,10,10,12,12,13,16,23,24,22,34,29,13,13,11,5,2,265
"Enfermedad de
Huntington",0,0,2,0,3,2,22,63,120,143,220,197,250,221,168,162,122,72,43,1.810
"Enfermedad de
Niemann Pick",0,3,13,4,4,7,4,4,5,7,4,2,4,2,2,2,3,1,2,73
"Enfermedad de
Rendu Osler",2,6,12,31,35,41,50,54,76,123,150,144,164,161,163,133,85,56,42,1.528
"Enfermedad de
Wilson",0,2,22,58,71,74,92,90,99,117,105,78,72,45,35,21,12,3,2,998
"Esclerosis lateral
amiotrófica",0,0,0,3,3,6,13,29,40,95,159,197,258,315,329,334,287,143,141,2.352
Fenilcetonuria,31,170,283,293,200,133,109,89,57,52,55,20,10,0,4,3,1,1,2,1.513
Fibrosis quística,50,296,653,334,326,287,286,254,235,205,137,88,72,47,20,18,16,12,9,3.345
Hemofilia A,11,103,212,300,256,233,218,259,263,292,252,207,187,178,125,91,74,42,42,3.345
"Osteogénesis
imperfecta",2,37,92,131,125,84,62,78,92,118,107,87,93,64,43,34,19,9,12,1.289
"Retinosis
Pigmentaria y
Retinosis
Pigmentarias
Sindrómicas",0,4,38,61,79,101,141,160,267,378,443,509,508,501,407,363,338,221,213,4.732
"Síndrome de
Angelman",0,30,53,77,64,41,38,35,10,13,5,1,0,1,0,0,0,0,0,368
"Síndrome de
Beckwith
Wiedemann",7,44,73,73,44,22,12,8,5,4,8,4,8,1,1,2,0,0,1,317
"Síndrome de
Goodpasture",0,0,1,3,6,11,11,24,19,21,19,26,37,47,44,53,34,33,26,415
"Síndrome de
Marfan",1,29,69,130,124,144,136,132,153,170,198,146,98,92,46,34,17,7,4,1.730
"Síndrome de
Prader Willi",4,72,146,129,103,88,74,34,40,43,20,10,1,1,1,2,0,0,0,768
"Síndrome de
Williams",7,39,78,106,75,50,35,28,20,22,12,4,2,0,0,0,0,0,0,478
"Síndrome de X
frágil",0,24,107,160,147,154,116,90,72,59,43,26,22,14,11,14,8,3,2,1.072
Total,158,1.332,2.604,2.676,2.293,1.994,1.861,1.989,2.306,2.835,2.862,2.620,2.502,2.218,1.727,1.498,1.160,691,574,35900
