"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,193,251,444,76,98,174
Aragón,4,10,14,15,10,25
"Asturias, Principado de",14,17,31,13,21,34
"Balears, Illes",23,23,46,14,17,31
Canarias,14,20,34,13,20,33
Cantabria*,,,,,,
Castilla-La Mancha*,0,0,0,1,0,1
Castilla y León,67,86,153,61,57,118
Catalunya,131,154,285,8,5,13
Ceuta*,,,,,,
Comunitat Valenciana,97,142,239,101,95,196
Extremadura,20,11,31,27,18,45
Galicia,59,66,125,43,52,95
"Madrid, Comunidad de",119,162,281,85,90,175
Melilla,0,1,1,0,0,0
"Murcia, Región de",22,33,55,12,20,32
"Navarra, Comunidad Foral de",10,9,19,8,11,19
País Vasco,23,21,44,7,5,12
"Rioja, La",7,1,8,2,3,5
TOTAL,803,1.007,1.810,486,522,1.008
