"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,526","0,551","0,590","0,628","0,648"
Aragón,"0,213","0,228","0,235","0,241","0,218"
"Asturias, Principado de","0,222","0,214","0,215","0,216","0,217"
"Balears, Illes","0,096","0,094","0,093","0,173","0,172"
Canarias,"0,251","0,243","0,245","0,246","0,245"
Castilla y León,"0,353","0,368","0,399","0,416","0,423"
Catalunya,"0,126","0,128","0,137","0,142","0,139"
Comunitat Valenciana,"0,355","0,374","0,380","0,378","0,376"
Extremadura,"0,111","0,140","0,131","0,141","0,151"
Galicia,"0,166","0,166","0,170","0,178","0,178"
"Madrid, Comunidad de","0,537","0,553","0,647","0,652","0,662"
Melilla,,,,,
"Murcia, Región de","0,319","0,380","0,383","0,366","0,390"
"Navarra, Comunidad Foral de","0,531","0,575","0,569","0,533","0,517"
País Vasco,"0,074","0,166","0,197","0,210","0,210"
"Rioja, La","0,064","0,064","0,064","0,063","0,063"
