"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,303,248,551,19,14,33
Aragón,20,9,29,5,4,9
"Asturias, Principado de",10,12,22,3,0,3
"Balears, Illes",10,11,21,0,0,0
Canarias,26,29,55,6,2,8
Cantabria*,,,,,,
Castilla-La Mancha*,1,0,1,0,0,0
Castilla y León,52,49,101,6,1,7
Catalunya,48,59,107,2,2,4
Ceuta*,1,0,1,0,0,0
Comunitat Valenciana,91,99,190,20,11,31
Extremadura,10,6,16,0,1,1
Galicia,30,18,48,1,0,1
"Madrid, Comunidad de",229,218,447,18,12,30
Melilla,,,,,,
"Murcia, Región de",32,27,59,5,3,8
"Navarra, Comunidad Foral de",17,17,34,2,0,2
País Vasco,25,21,46,0,0,0
"Rioja, La",1,1,2,0,0,0
TOTAL,906,824,1.730,87,50,137
