"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,078","0,081","0,083","0,085","0,094"
Aragón,"0,084","0,099","0,098","0,098","0,195"
"Asturias, Principado de","0,048","0,049","0,049","0,049","0,049"
"Balears, Illes","0,026","0,034","0,034","0,033","0,025"
Canarias,"0,014","0,018","0,018","0,018","0,027"
Castilla y León,"0,045","0,054","0,058","0,058","0,054"
Catalunya,"0,040","0,045","0,046","0,047","0,048"
Comunitat Valenciana,"0,041","0,042","0,038","0,038","0,038"
Extremadura,"0,037","0,037","0,038","0,038","0,038"
Galicia,"0,048","0,052","0,052","0,056","0,056"
"Madrid, Comunidad de","0,036","0,040","0,050","0,049","0,049"
Melilla,,,,,
"Murcia, Región de","0,081","0,095","0,101","0,100","0,099"
"Navarra, Comunidad Foral de","0,000","0,000","0,000","0,000","0,000"
País Vasco,"0,023","0,032","0,032","0,032","0,041"
"Rioja, La","0,000","0,000","0,000","0,000","0,000"
