"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,820,235,1.055,61,29,90
Aragón,80,4,84,7,2,9
"Asturias, Principado de",26,2,28,6,0,6
"Balears, Illes",38,3,41,2,0,2
Canarias,92,2,94,10,0,10
Cantabria*,0,1,1,0,0,0
Castilla-La Mancha*,10,0,10,0,0,0
Castilla y León,222,23,245,25,3,28
Catalunya,430,79,509,5,3,8
Ceuta*,,,,,,
Comunitat Valenciana,203,6,209,30,0,30
Extremadura,44,6,50,5,2,7
Galicia,143,0,143,5,0,5
"Madrid, Comunidad de",616,14,630,40,1,41
Melilla,0,0,1 (+),0,0,0
"Murcia, Región de",79,1,80,4,0,4
"Navarra, Comunidad Foral de",60,0,60,1,0,1
País Vasco,95,1,96,6,0,6
"Rioja, La",8,1,9,1,0,1
TOTAL,2.966,378,3.345 (+),208,40,248
