"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,408,398,806,39,32,71
Aragón,69,67,136,2,4,6
"Asturias, Principado de",14,22,36,0,6,6
"Balears, Illes",34,44,78,1,4,5
Canarias,65,59,124,6,9,15
Cantabria*,12,9,21,0,0,0
Castilla-La Mancha*,5,3,8,0,2,2
Castilla y León,112,102,214,6,8,14
Catalunya,219,207,426,25,12,37
Ceuta*,,,,,,
Comunitat Valenciana,251,252,503,24,20,44
Extremadura,17,24,41,1,4,5
Galicia,68,101,169,4,7,11
"Madrid, Comunidad de",269,275,544,22,26,48
Melilla,2,1,3,0,0,0
"Murcia, Región de",78,67,145,9,6,15
"Navarra, Comunidad Foral de",18,15,33,1,1,2
País Vasco,29,21,50,1,1,2
"Rioja, La",5,3,8,0,1,1
TOTAL,1.675,1.670,3.345,141,143,284
