"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,403,284,687,5,2,7
Aragón,11,3,14,0,2,2
"Asturias, Principado de",28,23,51,4,1,5
"Balears, Illes",23,8,31,3,0,3
Canarias,35,18,53,1,0,1
Cantabria*,,,,,,
Castilla-La Mancha*,1,1,2,0,0,0
Castilla y León,36,21,57,2,1,3
Catalunya,65,27,92,1,1,2
Ceuta*,,,,,,
Comunitat Valenciana,173,96,269,12,6,18
Extremadura,18,25,43,6,1,7
Galicia,52,21,73,3,3,6
"Madrid, Comunidad de",262,191,453,5,9,14
Melilla,0,1,1,0,0,0
"Murcia, Región de",41,26,67,0,0,0
"Navarra, Comunidad Foral de",21,17,38,0,1,1
País Vasco,2,0,2,0,0,0
"Rioja, La",2,2,4,2,0,2
TOTAL,1.173,764,1.937,44,27,71
