"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,214,220,434,5,11,16
Aragón,,,,,,
"Asturias, Principado de",5,7,12,2,3,5
"Balears, Illes",10,11,21,0,1,1
Canarias,21,25,46,2,0,2
Cantabria*,1,0,1,0,0,0
Castilla-La Mancha*,1,1,2,0,0,0
Castilla y León,41,39,80,5,3,8
Catalunya,8,14,22,0,0,0
Ceuta*,,,,,,
Comunitat Valenciana,80,100,180,7,9,16
Extremadura,5,9,14,0,0,0
Galicia,23,19,42,4,0,4
"Madrid, Comunidad de",137,178,315,10,7,17
Melilla,,,,,,
"Murcia, Región de",26,20,46,2,0,2
"Navarra, Comunidad Foral de",15,7,22,0,0,0
País Vasco,18,27,45,0,0,0
"Rioja, La",1,6,7,0,2,2
TOTAL,606,683,1.289,37,36,73
