"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,147,180,327,0,2,2
Aragón,14,15,29,0,1,1
"Asturias, Principado de",15,9,24,1,0,1
"Balears, Illes",25,19,44,0,0,0
Canarias,19,18,37,1,0,1
Cantabria*,1,0,1,0,0,0
Castilla-La Mancha*,2,2,4,0,0,0
Castilla y León,29,41,70,0,0,0
Catalunya,137,160,297,1,0,1
Ceuta*,,,,,,
Comunitat Valenciana,53,45,98,1,0,1
Extremadura,8,15,23,3,1,4
Galicia,59,87,146,0,0,0
"Madrid, Comunidad de",139,165,304,4,2,6
Melilla,0,1,1,0,0,0
"Murcia, Región de",25,36,61,0,0,0
"Navarra, Comunidad Foral de",10,7,17,0,0,0
País Vasco,14,15,29,0,0,0
"Rioja, La",1,0,1,0,0,0
TOTAL,698,815,1.513,11,6,17
