"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"1,159","1,207","1,239","1,261","1,248"
Aragón,"0,175","0,175","0,182","0,210","0,225"
"Asturias, Principado de","0,348","0,341","0,342","0,314","0,296"
"Balears, Illes","0,400","0,446","0,421","0,413","0,385"
Canarias,"0,510","0,519","0,530","0,536","0,544"
Castilla y León,"0,772","0,831","0,876","0,887","0,922"
Catalunya,"0,450","0,463","0,470","0,474","0,468"
Comunitat Valenciana,"0,604","0,613","0,635","0,624","0,598"
Extremadura,"0,483","0,495","0,526","0,556","0,539"
Galicia,"0,148","0,152","0,181","0,196","0,200"
"Madrid, Comunidad de","1,062","1,345","1,361","1,332","1,304"
Melilla,,,,,
"Murcia, Región de","0,903","0,908","0,901","0,911","0,925"
"Navarra, Comunidad Foral de","3,592","3,432","3,293","3,153","3,041"
País Vasco,"0,161","0,230","0,427","1,201","1,189"
"Rioja, La","1,248","1,406","1,499","1,519","1,771"
