"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,101","0,106","0,109","0,109","0,111"
Aragón,"0,046","0,046","0,045","0,053","0,053"
"Asturias, Principado de","0,029","0,039","0,039","0,049","0,049"
"Balears, Illes","0,035","0,034","0,034","0,041","0,041"
Canarias,"0,032","0,037","0,036","0,036","0,045"
Castilla y León,"0,016","0,021","0,033","0,042","0,042"
Catalunya,"0,078","0,088","0,090","0,093","0,093"
Comunitat Valenciana,"0,036","0,040","0,050","0,052","0,053"
Extremadura,"0,046","0,047","0,047","0,057","0,057"
Galicia,"0,055","0,059","0,059","0,056","0,059"
"Madrid, Comunidad de","0,094","0,099","0,119","0,124","0,118"
Melilla,,,,,
"Murcia, Región de","0,081","0,095","0,094","0,100","0,099"
"Navarra, Comunidad Foral de","0,219","0,217","0,215","0,213","0,213"
País Vasco,"0,018","0,018","0,037","0,037","0,037"
"Rioja, La","0,000","0,000","0,000","0,000","0,000"
