"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,459","0,476","0,490","0,504","0,510"
Aragón,,,,,
"Asturias, Principado de","0,116","0,127","0,117","0,118","0,118"
"Balears, Illes","0,070","0,129","0,151","0,157","0,172"
Canarias,"0,153","0,165","0,177","0,192","0,205"
Castilla y León,"0,267","0,277","0,295","0,312","0,335"
Catalunya,"0,020","0,021","0,026","0,027","0,029"
Comunitat Valenciana,"0,298","0,321","0,340","0,352","0,357"
Extremadura,"0,111","0,112","0,113","0,113","0,132"
Galicia,"0,144","0,152","0,152","0,155","0,156"
"Madrid, Comunidad de","0,395","0,402","0,444","0,459","0,466"
Melilla,,,,,
"Murcia, Región de","0,272","0,271","0,282","0,286","0,304"
"Navarra, Comunidad Foral de","0,328","0,326","0,338","0,335","0,335"
País Vasco,"0,083","0,115","0,156","0,187","0,206"
"Rioja, La","0,064","0,128","0,223","0,222","0,221"
