"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,207","0,202","0,201","0,197","0,198"
Aragón,,,,,"0,008"
"Asturias, Principado de","0,010","0,019","0,020","0,020","0,010"
"Balears, Illes","0,061","0,094","0,093","0,083","0,074"
Canarias,"0,070","0,069","0,059","0,054","0,049"
Castilla y León,"0,189","0,203","0,204","0,200","0,184"
Catalunya,"0,074","0,092","0,131","0,132","0,124"
Comunitat Valenciana,"0,095","0,097","0,098","0,099","0,097"
Extremadura,"0,316","0,299","0,291","0,283","0,255"
Galicia,"0,085","0,081","0,089","0,085","0,085"
"Madrid, Comunidad de","0,171","0,173","0,199","0,205","0,201"
Melilla,,,,,
"Murcia, Región de","0,163","0,169","0,161","0,153","0,159"
"Navarra, Comunidad Foral de","0,297","0,295","0,292","0,274","0,243"
País Vasco,"0,023","0,037","0,055","0,069","0,073"
"Rioja, La",,"0,032","0,032","0,063","0,063"
