"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,706","0,781","0,896","0,950","1,026"
Aragón,"0,129","0,122","0,114","0,113","0,113"
"Asturias, Principado de","0,348","0,360","0,372","0,383","0,415"
"Balears, Illes","0,235","0,249","0,252","0,273","0,271"
Canarias,"0,260","0,266","0,263","0,273","0,267"
Castilla y León,"0,394","0,434","0,436","0,446","0,461"
Catalunya,"0,173","0,178","0,177","0,182","0,186"
Comunitat Valenciana,"0,243","0,249","0,265","0,264","0,271"
Extremadura,"0,269","0,271","0,272","0,273","0,274"
Galicia,"0,303","0,314","0,307","0,303","0,304"
"Madrid, Comunidad de","0,500","0,508","0,530","0,538","0,564"
Melilla,,,,,
"Murcia, Región de","0,401","0,386","0,397","0,392","0,416"
"Navarra, Comunidad Foral de","0,656","0,652","0,692","0,685","0,684"
País Vasco,"0,138","0,203","0,303","0,352","0,361"
"Rioja, La","0,128","0,128","0,159","0,190","0,190"
