"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,853,1.051,1.904,76,50,126
Aragón,0,1,1,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",56,69,125,9,6,15
Canarias,23,27,50,10,7,17
Cantabria*,0,1,1,0,0,0
Castilla-La Mancha*,,,,,,
Castilla y León,290,330,620,53,45,98
Catalunya,92,85,177,2,2,4
Ceuta*,,,,,,
Comunitat Valenciana,93,92,185,23,27,50
Extremadura,13,21,34,8,8,16
Galicia,0,1,1,0,0,0
"Madrid, Comunidad de",409,485,894,59,57,116
Melilla,,,,,,
"Murcia, Región de",152,186,338,20,17,37
"Navarra, Comunidad Foral de",32,23,55,4,4,8
País Vasco,161,184,345,6,3,9
"Rioja, La",1,1,2,0,0,0
TOTAL,2.175,2.557,4.732,270,226,496
