"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,74,64,138,2,1,3
Aragón,0,0,0,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",1,3,4,0,0,0
Canarias,8,5,13,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,4,8,12,0,0,0
Catalunya,42,38,80,0,1,1
Ceuta*,,,,,,
Comunitat Valenciana,10,8,18,1,0,1
Extremadura,5,3,8,0,0,0
Galicia,4,9,13,0,0,0
"Madrid, Comunidad de",81,53,134,1,1,2
Melilla,,,,,,
"Murcia, Región de",15,21,36,0,0,0
"Navarra, Comunidad Foral de",6,6,12,0,0,0
País Vasco,4,6,10,1,0,1
"Rioja, La",0,0,0,0,0,0
TOTAL,254,224,478,5,3,8
