"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,80,89,169,10,5,15
Aragón,2,0,2,0,1,1
"Asturias, Principado de",3,2,5,1,0,1
"Balears, Illes",10,4,14,0,1,1
Canarias,3,3,6,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,6,7,13,1,1,2
Catalunya,30,44,74,2,2,4
Ceuta*,,,,,,
Comunitat Valenciana,32,21,53,9,5,14
Extremadura,2,1,3,1,0,1
Galicia,11,15,26,1,0,1
"Madrid, Comunidad de",28,35,63,4,3,7
Melilla,,,,,,
"Murcia, Región de",9,12,21,2,2,4
"Navarra, Comunidad Foral de",4,1,5,1,2,3
País Vasco,10,9,19,1,0,1
"Rioja, La",0,0,0,0,0,0
TOTAL,230,243,473,33,22,55
