"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"1,095","1,146","1,193","1,216","1,241"
Aragón,"0,638","0,640","0,636","0,639","0,631"
"Asturias, Principado de","0,242","0,263","0,254","0,265","0,276"
"Balears, Illes","0,191","0,231","0,311","0,347","0,336"
Canarias,"0,367","0,377","0,444","0,425","0,419"
Castilla y León,"0,895","1,001","1,022","1,037","1,027"
Catalunya,"0,609","0,628","0,641","0,652","0,664"
Comunitat Valenciana,"0,375","0,392","0,398","0,402","0,414"
Extremadura,"0,445","0,458","0,451","0,471","0,473"
Galicia,"0,509","0,518","0,533","0,529","0,530"
"Madrid, Comunidad de","0,794","0,808","0,893","0,932","0,933"
Melilla,,,,"0,118","0,119"
"Murcia, Región de","0,523","0,522","0,511","0,512","0,529"
"Navarra, Comunidad Foral de","0,890","0,932","0,923","0,914","0,912"
País Vasco,"0,092","0,226","0,377","0,420","0,439"
"Rioja, La","0,192","0,256","0,287","0,285","0,285"
