"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,276,86,362,6,2,8
Aragón,,,,,,
"Asturias, Principado de",1,0,1,1,1,2
"Balears, Illes",27,11,38,0,0,0
Canarias,9,2,11,0,1,1
Cantabria*,1,0,1,0,0,0
Castilla-La Mancha*,,,,,,
Castilla y León,48,15,63,2,1,3
Catalunya,99,29,128,0,0,0
Ceuta*,,,,,,
Comunitat Valenciana,37,7,44,4,1,5
Extremadura,3,3,6,0,1,1
Galicia,12,2,14,0,0,0
"Madrid, Comunidad de",133,32,165,5,2,7
Melilla,,,,,,
"Murcia, Región de",109,32,141,5,0,5
"Navarra, Comunidad Foral de",18,6,24,0,0,0
País Vasco,52,16,68,0,0,0
"Rioja, La",4,2,6,0,0,0
TOTAL,829,243,1.072,23,9,32
