"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,546","0,614","0,676","0,733","0,808"
Aragón,"0,030","0,030","0,030","0,105","0,105"
"Asturias, Principado de","0,445","0,477","0,489","0,501","0,504"
"Balears, Illes","0,113","0,171","0,236","0,240","0,254"
Canarias,"0,167","0,202","0,227","0,228","0,236"
Castilla y León,"0,172","0,198","0,212","0,221","0,239"
Catalunya,"0,095","0,100","0,114","0,116","0,120"
Comunitat Valenciana,"0,456","0,481","0,513","0,535","0,533"
Extremadura,"0,306","0,364","0,422","0,424","0,406"
Galicia,"0,247","0,252","0,263","0,266","0,271"
"Madrid, Comunidad de","0,571","0,597","0,665","0,676","0,671"
Melilla,,"0,236","0,118","0,118","0,119"
"Murcia, Región de","0,407","0,400","0,403","0,419","0,443"
"Navarra, Comunidad Foral de","0,562","0,590","0,585","0,579","0,578"
País Vasco,,,"0,005","0,009","0,009"
"Rioja, La","0,096","0,160","0,159","0,158","0,127"
