"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,55,65,120,9,7,16
Aragón,,,,,,
"Asturias, Principado de",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,1,3,4,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,3,0,3,2,0,2
Catalunya,20,13,33,0,0,0
Ceuta*,,,,,,
Comunitat Valenciana,8,6,14,0,0,0
Extremadura,4,2,6,1,0,1
Galicia,2,3,5,0,0,0
"Madrid, Comunidad de",39,34,73,0,3,3
Melilla,,,,,,
"Murcia, Región de",16,8,24,0,0,0
"Navarra, Comunidad Foral de",1,6,7,0,0,0
País Vasco,4,6,10,0,0,0
"Rioja, La",12,6,18,1,0,1
TOTAL,165,152,317,13,10,23
