"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,165,144,309,4,9,13
Aragón,,,,,,
"Asturias, Principado de",4,4,8,0,1,1
"Balears, Illes",9,9,18,1,0,1
Canarias,8,17,25,2,0,2
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,14,16,30,2,2,4
Catalunya,57,72,129,2,2,4
Ceuta*,1,0,1,0,0,0
Comunitat Valenciana,27,10,37,3,2,5
Extremadura,4,3,7,2,0,2
Galicia,10,7,17,0,1,1
"Madrid, Comunidad de",63,68,131,4,8,12
Melilla,,,,,,
"Murcia, Región de",10,13,23,2,1,3
"Navarra, Comunidad Foral de",8,7,15,2,1,3
País Vasco,7,5,12,0,0,0
"Rioja, La",3,3,6,0,0,0
TOTAL,390,378,768,24,27,51
