"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2019,2020
Andalucía,"0,262","0,277","0,291","0,302","0,315"
Aragón,,,,"0,068","0,068"
"Asturias, Principado de","0,135","0,136","0,117","0,137","0,148"
"Balears, Illes","0,235","0,266","0,295","0,306","0,320"
Canarias,"0,306","0,340","0,353","0,389","0,397"
Castilla y León,"0,472","0,475","0,473","0,466","0,444"
Catalunya,"0,294","0,337","0,359","0,361","0,358"
Comunitat Valenciana,"0,263","0,271","0,285","0,280","0,279"
Extremadura,"0,306","0,299","0,272","0,292","0,312"
Galicia,"0,247","0,248","0,244","0,248","0,248"
"Madrid, Comunidad de","0,289","0,301","0,385","0,402","0,383"
Melilla,,,,,
"Murcia, Región de","0,319","0,332","0,329","0,326","0,344"
"Navarra, Comunidad Foral de","0,406","0,404","0,400","0,381","0,380"
País Vasco,"0,231","0,433","0,523","0,598","0,595"
"Rioja, La","0,384","0,447","0,351","0,380","0,380"
