"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,147,103,250,6,8,14
Aragón,7,10,17,1,0,1
"Asturias, Principado de",2,4,6,1,0,1
"Balears, Illes",14,7,21,1,0,1
Canarias,9,20,29,3,1,4
Cantabria*,,,,,,
Castilla-La Mancha*,1,0,1,0,0,0
Castilla y León,21,12,33,4,4,8
Catalunya,68,53,121,4,4,8
Ceuta*,,,,,,
Comunitat Valenciana,63,45,108,3,4,7
Extremadura,7,4,11,0,0,0
Galicia,19,22,41,4,1,5
"Madrid, Comunidad de",130,102,232,4,6,10
Melilla,,,,,,
"Murcia, Región de",35,29,64,3,2,5
"Navarra, Comunidad Foral de",9,18,27,2,0,2
País Vasco,19,15,34,0,0,0
"Rioja, La",1,2,3,0,0,0
TOTAL,552,446,998,36,30,66
