"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"1,840","1,958","2,085","2,169","2,239"
Aragón,,,,,"0,008"
"Asturias, Principado de",,,,,
"Balears, Illes","0,990","1,088","1,086","1,065","1,025"
Canarias,"0,176","0,188","0,213","0,237","0,223"
Castilla y León,"2,192","2,303","2,430","2,545","2,598"
Catalunya,"0,160","0,183","0,204","0,222","0,231"
Comunitat Valenciana,"0,310","0,328","0,356","0,356","0,367"
Extremadura,"0,427","0,448","0,394","0,339","0,321"
Galicia,"0,004","0,004","0,004","0,004","0,004"
"Madrid, Comunidad de","1,139","1,153","1,220","1,286","1,323"
Melilla,,,,,
"Murcia, Región de","1,867","1,972","2,043","2,147","2,234"
"Navarra, Comunidad Foral de","0,781","0,792","0,800","0,823","0,836"
País Vasco,"1,177","1,271","1,442","1,548","1,578"
"Rioja, La","0,064","0,064","0,064","0,063","0,063"
