"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,11,6,17,2,2,4
Aragón,0,0,0,0,0,0
"Asturias, Principado de",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,1,0,1,1,1,2
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,3,1,4,0,0,0
Catalunya,9,4,13,2,1,3
Ceuta*,,,,,,
Comunitat Valenciana,2,2,4,1,5,6
Extremadura,0,0,0,1,0,1
Galicia,5,4,9,0,1,1
"Madrid, Comunidad de",5,4,9,4,3,7
Melilla,,,,,,
"Murcia, Región de",5,3,8,1,1,2
"Navarra, Comunidad Foral de",1,0,1,0,0,0
País Vasco,2,1,3,0,0,0
"Rioja, La",3,1,4,0,0,0
TOTAL,47,26,73,12,14,26
