"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,38,42,80,3,3,6
Aragón,13,13,26,2,7,9
"Asturias, Principado de",0,5,5,0,0,0
"Balears, Illes",1,2,3,1,0,1
Canarias,0,6,6,1,0,1
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,5,8,13,1,0,1
Catalunya,21,16,37,0,3,3
Ceuta*,,,,,,
Comunitat Valenciana,11,8,19,3,1,4
Extremadura,3,1,4,0,0,0
Galicia,9,6,15,1,0,1
"Madrid, Comunidad de",21,12,33,3,2,5
Melilla,,,,,,
"Murcia, Región de",8,7,15,0,0,0
"Navarra, Comunidad Foral de",0,0,0,0,0,0
País Vasco,4,5,9,0,0,0
"Rioja, La",0,0,0,0,0,0
TOTAL,134,131,265,15,16,31
