"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,88,56,144,8,7,15
Aragón,2,4,6,2,2,4
"Asturias, Principado de",3,2,5,5,2,7
"Balears, Illes",2,3,5,0,0,0
Canarias,17,11,28,5,4,9
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,16,18,34,4,1,5
Catalunya,58,50,108,7,7,14
Ceuta*,,,,,,
Comunitat Valenciana,29,36,65,16,19,35
Extremadura,3,4,7,0,0,0
Galicia,14,10,24,4,3,7
"Madrid, Comunidad de",42,32,74,20,12,32
Melilla,,,,,,
"Murcia, Región de",20,13,33,7,4,11
"Navarra, Comunidad Foral de",3,7,10,0,2,2
País Vasco,4,6,10,0,2,2
"Rioja, La",0,0,0,1,0,1
TOTAL,301,252,553,79,65,144
