"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,153","0,158","0,168","0,177","0,173"
Aragón,,,"0,008","0,008","0,008"
"Asturias, Principado de","0,039","0,039","0,039","0,049","0,049"
"Balears, Illes","0,009","0,009","0,017","0,017","0,016"
Canarias,"0,005","0,014","0,027","0,031","0,040"
Castilla y León,"0,062","0,058","0,062","0,067","0,067"
Catalunya,"0,051","0,051","0,056","0,054","0,052"
Comunitat Valenciana,"0,047","0,047","0,054","0,060","0,057"
Extremadura,"0,195","0,187","0,169","0,141","0,132"
Galicia,"0,022","0,022","0,026","0,026","0,030"
"Madrid, Comunidad de","0,269","0,227","0,218","0,199","0,176"
Melilla,,,,,
"Murcia, Región de","0,075","0,075","0,074","0,086","0,093"
"Navarra, Comunidad Foral de","0,031","0,031","0,031","0,030","0,030"
País Vasco,"0,000","0,000","0,000","0,000","0,000"
"Rioja, La","0,352","0,320","0,287","0,285","0,285"
