"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,132","0,138","0,151","0,149","0,162"
Aragón,"0,000","0,000","0,000","0,000","0,000"
"Asturias, Principado de",,,,,
"Balears, Illes",,,,,"0,033"
Canarias,"0,023","0,032","0,041","0,049","0,058"
Castilla y León,"0,025","0,025","0,033","0,042","0,050"
Catalunya,"0,075","0,080","0,093","0,098","0,104"
Comunitat Valenciana,"0,024","0,026","0,028","0,034","0,036"
Extremadura,"0,074","0,075","0,075","0,075","0,076"
Galicia,"0,048","0,048","0,048","0,048","0,048"
"Madrid, Comunidad de","0,037","0,046","0,185","0,193","0,198"
Melilla,,,,,
"Murcia, Región de","0,204","0,210","0,208","0,219","0,238"
"Navarra, Comunidad Foral de","0,156","0,171","0,169","0,168","0,182"
País Vasco,"0,028","0,037","0,037","0,041","0,046"
"Rioja, La","0,000","0,000","0,000","0,000","0,000"
