"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,58,110,168,22,16,38
Aragón,1,0,1,2,0,2
"Asturias, Principado de",1,0,1,1,0,1
"Balears, Illes",5,4,9,2,3,5
Canarias,5,6,11,4,1,5
Cantabria*,,,,,,
Castilla-La Mancha*,0,1,1,0,0,0
Castilla y León,23,21,44,10,13,23
Catalunya,45,50,95,5,8,13
Ceuta*,,,,,,
Comunitat Valenciana,28,21,49,13,16,29
Extremadura,13,14,27,8,5,13
Galicia,11,12,23,8,4,12
"Madrid, Comunidad de",72,64,136,11,22,33
Melilla,,,,,,
"Murcia, Región de",14,10,24,5,6,11
"Navarra, Comunidad Foral de",9,7,16,3,2,5
País Vasco,4,12,16,0,0,0
"Rioja, La",1,1,2,2,1,3
TOTAL,290,333,623,96,97,193
