"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,338","0,359","0,364","0,374","0,385"
Aragón,"0,175","0,175","0,174","0,180","0,218"
"Asturias, Principado de","0,203","0,204","0,205","0,236","0,237"
"Balears, Illes","0,130","0,257","0,345","0,347","0,361"
Canarias,"0,135","0,133","0,140","0,156","0,165"
Castilla y León,"0,201","0,223","0,253","0,275","0,293"
Catalunya,"0,335","0,358","0,367","0,376","0,387"
Comunitat Valenciana,"0,180","0,184","0,185","0,191","0,194"
Extremadura,"0,148","0,159","0,150","0,179","0,217"
Galicia,"0,513","0,533","0,541","0,540","0,541"
"Madrid, Comunidad de","0,412","0,421","0,441","0,442","0,450"
Melilla,"0,118","0,118","0,118","0,118","0,119"
"Murcia, Región de","0,367","0,373","0,370","0,399","0,403"
"Navarra, Comunidad Foral de","0,219","0,248","0,262","0,259","0,258"
País Vasco,"0,051","0,069","0,124","0,132","0,133"
"Rioja, La","0,032","0,032","0,032","0,032","0,032"
