"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,47,47,94,2,1,3
Aragón,3,4,7,0,0,0
"Asturias, Principado de",3,2,5,0,0,0
"Balears, Illes",3,2,5,0,0,0
Canarias,6,4,10,0,0,0
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,5,5,10,0,0,0
Catalunya,36,35,71,0,1,1
Ceuta*,,,,,,
Comunitat Valenciana,17,10,27,1,0,1
Extremadura,4,2,6,0,0,0
Galicia,8,8,16,1,1,2
"Madrid, Comunidad de",33,47,80,3,2,5
Melilla,,,,,,
"Murcia, Región de",5,10,15,1,0,1
"Navarra, Comunidad Foral de",7,7,14,0,1,1
País Vasco,5,3,8,0,0,0
"Rioja, La",0,0,0,0,1,1
TOTAL,182,186,368,8,7,15
