"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,114","0,128","0,160","0,172","0,199"
Aragón,,,,,"0,015"
"Asturias, Principado de","0,039","0,039","0,039","0,049","0,049"
"Balears, Illes","0,026","0,034","0,059","0,107","0,115"
Canarias,"0,014","0,014","0,014","0,022","0,027"
Castilla y León,"0,016","0,021","0,037","0,046","0,054"
Catalunya,"0,075","0,083","0,087","0,093","0,096"
Comunitat Valenciana,"0,093","0,109","0,111","0,105","0,105"
Extremadura,"0,019","0,028","0,038","0,038","0,028"
Galicia,"0,081","0,092","0,096","0,096","0,096"
"Madrid, Comunidad de","0,054","0,060","0,081","0,090","0,093"
Melilla,,,,,
"Murcia, Región de","0,075","0,081","0,081","0,093","0,139"
"Navarra, Comunidad Foral de","0,094","0,093","0,092","0,091","0,076"
País Vasco,"0,014","0,060","0,078","0,078","0,087"
"Rioja, La","0,000","0,000","0,000","0,000","0,000"
