"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,65,82,147,19,26,45
Aragón,0,1,1,4,0,4
"Asturias, Principado de",3,2,5,1,1,2
"Balears, Illes",0,2,2,1,2,3
Canarias,2,7,9,3,3,6
Cantabria*,,,,,,
Castilla-La Mancha*,,,,,,
Castilla y León,10,6,16,4,2,6
Catalunya,21,19,40,9,6,15
Ceuta*,,,,,,
Comunitat Valenciana,14,15,29,14,7,21
Extremadura,8,6,14,10,2,12
Galicia,4,4,8,2,2,4
"Madrid, Comunidad de",43,76,119,55,45,100
Melilla,,,,,,
"Murcia, Región de",8,6,14,3,2,5
"Navarra, Comunidad Foral de",1,1,2,0,0,0
País Vasco,0,0,0,0,0,0
"Rioja, La",6,3,9,3,4,7
TOTAL,185,230,415,128,102,230
