Enfermedad Rara,VIVOS,,
,Hombres,Mujeres,Total
Ataxia de Friedreich,290,333,623
Atrofia Muscular Espinal Proximal,301,252,553
Complejo Esclerosis Tuberosa,1.002,1.095,2.097
Displasia Renal,1.173,764,1.937
Distrofia Miotónica de Steinert,1.861,1.958,3.819
Enfermedad de Fabry,230,243,473
Enfermedad de Gaucher,134,131,265
Enfermedad de Huntington,803,1.007,1.810
Enfermedad de Niemann Pick,47,26,73
Enfermedad de Rendu Osler,639,889,1.528
Enfermedad de Wilson,552,446,998
Esclerosis Lateral Amiotrófica,1.370,982,2.352
Fenilcetonuria,698,815,1.513
Fibrosis Quística,1.675,1.670,3.345
Hemofilia A,2.966,378,3.345*
Osteogénesis Imperfecta,606,683,1.289
Retinosis pigmentaria y retinosis pigmentarias sindrómicas,2.175,2.557,4.732
Síndrome de Angelman,182,186,368
Síndrome de Beckwith Wiedemann,165,152,317
Síndrome de Goodpasture,185,230,415
Síndrome de Marfan,906,824,1.730
Síndrome de Prader Willi,390,378,768
Síndrome de Williams,254,224,478
Síndrome de X Frágil,829,243,1.072
Total general,19.433,16.466,35.900 (*)
