"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,322,239,561,475,414,889
Aragón,25,16,41,143,120,263
"Asturias, Principado de",65,33,98,199,153,352
"Balears, Illes",37,14,51,100,65,165
Canarias,32,15,47,164,127,291
Cantabria*,1,0,1,0,0,0
Castilla-La Mancha*,31,15,46,3,1,4
Castilla y León,109,73,182,333,282,615
Catalunya,225,192,417,166,189,355
Ceuta*,,,,,,
Comunitat Valenciana,95,73,168,543,505,1.048
Extremadura,25,22,47,56,41,97
Galicia,57,26,83,126,95,221
"Madrid, Comunidad de",239,193,432,616,579,1.195
Melilla,0,1,1,3,2,5
"Murcia, Región de",37,27,64,139,124,263
"Navarra, Comunidad Foral de",32,17,49,95,73,168
País Vasco,24,19,43,85,46,131
"Rioja, La",14,7,21,56,44,100
TOTAL,1.370,982,2.352,3.302,2860,6.162
