"Comunidad Autónoma de
residencia",Prevalencias puntuales por 10.000,,,,
,2017,2018,2019,2020,2021
Andalucía,"0,371","0,403","0,420","0,421","0,426"
Aragón,,,,,
"Asturias, Principado de","0,010","0,010","0,010","0,010","0,010"
"Balears, Illes","0,052","0,206","0,244","0,273","0,312"
Canarias,"0,037","0,046","0,050","0,045","0,049"
Castilla y León,"0,213","0,240","0,245","0,250","0,264"
Catalunya,"0,157","0,166","0,164","0,167","0,167"
Comunitat Valenciana,"0,057","0,069","0,076","0,080","0,087"
Extremadura,"0,056","0,056","0,056","0,057","0,057"
Galicia,"0,044","0,048","0,048","0,052","0,052"
"Madrid, Comunidad de","0,216","0,226","0,232","0,246","0,244"
Melilla,,,,,
"Murcia, Región de","0,835","0,867","0,887","0,917","0,932"
"Navarra, Comunidad Foral de","0,344","0,373","0,369","0,366","0,365"
País Vasco,"0,194","0,235","0,275","0,306","0,311"
"Rioja, La","0,064","0,096","0,096","0,095","0,190"
