"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombres,Mujeres,TOTAL,Hombres,Mujeres,TOTAL
Andalucía,117,151,268,16,20,36
Aragón,3,6,9,0,2,2
"Asturias, Principado de",8,7,15,5,4,9
"Balears, Illes",15,24,39,2,6,8
Canarias,32,57,89,11,16,27
Cantabria*,4,4,8,0,0,0
Castilla-La Mancha*,,,,,,
Castilla y León,45,61,106,28,22,50
Catalunya,110,165,275,9,8,17
Ceuta*,,,,,,
Comunitat Valenciana,61,80,141,28,29,57
Extremadura,19,14,33,4,7,11
Galicia,28,39,67,25,13,38
"Madrid, Comunidad de",111,1/48,259,25,31,56
Melilla,,,,,,
"Murcia, Región de",25,27,52,2,4,6
"Navarra, Comunidad Foral de",9,16,25,6,7,13
País Vasco,47,83,130,8,3,11
"Rioja, La",5,7,12,2,2,4
TOTAL,639,889,1.528,171,174,345
