"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,834,286,1120,59,29,88
Aragón,84,4,88,7,1,8
"Asturias, Principado de *",,,,,,
"Balears, Illes",36,3,39,1,0,1
Canarias,93,2,95,9,0,9
Cantabria *,0,1,1,0,0,0
Castilla-La Mancha *,5,0,5,0,0,0
Castilla y León,220,22,242,20,2,22
Catalunya,288,78,366,1,2,3
Ceuta *,,,,,,
Comunitat Valenciana,202,6,208,27,0,27
Extremadura *,8,0,8,0,0,0
Galicia,139,0,139,5,0,5
"Madrid, Comunidad de",615,13,628,40,1,41
Melilla *,4,0,4,0,0,0
"Murcia, Región de",74,1,75,3,0,3
"Navarra, Comunidad Foral de",62,0,62,1,0,1
País Vasco,88,1,89,3,0,3
"Rioja, La",8,1,9,1,0,1
TOTAL,2.760,418,3.178,177,35,212
