Enfermedad,Grupos de edad,,,,,,,,,,,,,,,,,,,latoT
,1<,4-1,9-5,41-01,91-51,42-02,92-52,43-03,93-53,44-04,94-54,45-05,95-55,46-06,96-56,47-07,97-57,48-08,48>,
Enfermedad de Gaucher,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,1,0,3,14
Enfermedad de Huntington,0,0,0,1,1,2,3,8,26,44,59,53,91,95,90,109,69,82,66,799
Enfermedad de Niemann Pick,0,8,4,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,18
Enfermedad de Rendu Osler,0,2,1,0,0,2,0,1,2,1,4,8,8,17,21,30,49,57,51,254
Enfermedad de Wilson,0,0,0,0,2,1,2,3,1,7,8,6,7,4,2,4,3,2,2,54
Esclerosis Lateral Amiotrófica,0,0,0,0,1,3,3,7,33,82,143,283,395,562,724,796,834,609,303,4.778
Fenilcetonuria,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,8
Fibrosis Quística,5,3,7,3,20,40,41,29,27,11,8,6,8,4,3,3,10,10,6,244
Hemofilia A,0,0,2,2,1,1,3,4,4,8,9,13,21,21,19,18,30,22,34,212
Osteogénesis Imperfecta,2,0,1,0,1,3,1,2,1,2,5,1,5,4,7,6,9,8,3,61
Síndrome de Angelman,0,1,0,0,3,3,1,1,1,0,0,1,0,0,0,0,0,0,0,11
"Síndrome de Beckwith
Wiedemann",1,0,0,2,0,1,0,2,3,1,0,1,0,1,0,1,1,2,0,16
Síndrome de Goodpasture,0,0,0,0,0,1,0,1,3,1,4,6,7,8,18,25,32,30,47,183
Síndrome de Marfan,5,2,0,2,0,1,4,6,13,11,7,15,17,8,4,8,3,3,2,111
Síndrome de Prader Willi,3,2,3,2,4,5,3,5,6,7,1,0,1,1,1,0,0,0,0,44
Síndrome de X Frágil,0,0,0,0,0,0,1,0,1,0,0,2,3,2,5,2,2,0,2,20
Total,90,43,32,20,46,72,79,101,150,251,349,547,761,903,1.070,1.137,1.099,879,556,8.185
