"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,83,53,136,8,8,16
Aragón,4,6,10,0,1,1
"Asturias, Principado de *",,,,,,
"Balears, Illes",2,3,5,0,0,0
Canarias,16,10,26,6,4,10
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,12,17,29,4,1,5
Catalunya,52,45,97,6,6,12
Ceuta *,,,,,,
Comunitat Valenciana,28,38,66,15,18,33
Extremadura *,1,0,1,0,0,0
Galicia,14,10,24,4,3,7
"Madrid, Comunidad de",39,33,72,18,11,29
Melilla *,,,,,,
"Murcia, Región de",19,12,31,7,3,10
"Navarra, Comunidad Foral de",3,7,10,0,2,2
País Vasco,4,6,10,0,2,2
"Rioja, La",1,0,1,0,0,0
TOTAL,278,240,518,68,59,127
