"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,251,197,448,15,12,27
Aragón,22,10,32,3,3,6
"Asturias, Principado de *",,,,,,
"Balears, Illes",9,9,18,0,0,0
Canarias,24,26,50,6,1,7
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,52,48,100,5,1,6
Catalunya,49,59,108,0,2,2
Ceuta *,3,1,4,0,0,0
Comunitat Valenciana,90,96,186,16,10,26
Extremadura *,,,,,,
Galicia,29,18,47,1,0,1
"Madrid, Comunidad de",221,211,432,16,11,27
Melilla *,1,0,1,0,0,0
"Murcia, Región de",32,25,57,4,3,7
"Navarra, Comunidad Foral de",18,17,35,1,0,1
País Vasco,25,21,46,1,0,1
"Rioja, La",1,1,2,0,0,0
TOTAL,827,739,1.566,68,43,111
