"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,185,224,409,63,84,147
Aragón,6,12,18,13,8,21
"Asturias, Principado de *",,,,,,
"Balears, Illes",25,22,47,12,14,26
Canarias,13,21,34,12,16,28
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,71,85,156,55,53,108
Catalunya,117,148,265,5,1,6
Ceuta *,,,,,,
Comunitat Valenciana,54,73,127,89,80,169
Extremadura *,,,,,,
Galicia,59,66,125,43,52,95
"Madrid, Comunidad de",120,168,288,73,79,152
Melilla *,,,,,,
"Murcia, Región de",23,34,57,9,16,25
"Navarra, Comunidad Foral de",12,11,23,6,9,15
País Vasco,23,18,41,1,2,3
"Rioja, La",7,2,9,2,2,4
TOTAL,715,884,1.599,383,416,799
