"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,512,489,1.001,75,68,143
Aragón,10,10,20,1,1,2
"Asturias, Principado de *",,,,,,
"Balears, Illes",35,18,53,11,15,26
Canarias,48,67,115,21,12,33
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,96,109,205,61,50,111
Catalunya,162,187,349,29,22,51
Ceuta *,,,,,,
Comunitat Valenciana,146,155,301,78,57,135
Extremadura *,,,,,,
Galicia,19,32,51,5,3,8
"Madrid, Comunidad de",419,468,887,150,97,247
Melilla *,,,,,,
"Murcia, Región de",67,65,132,22,17,39
"Navarra, Comunidad Foral de",97,112,209,38,26,64
País Vasco,133,131,264,0,2,2
"Rioja, La",27,20,47,17,11,28
TOTAL,1.771,1.863,3.634,508,381,889
