"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,9,7,16,1,1,2
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,2,0,2,0,1,1
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,3,1,4,0,0,0
Catalunya,10,4,14,1,0,1
Ceuta *,,,,,,
Comunitat Valenciana,1,3,4,1,5,6
Extremadura *,,,,,,
Galicia,5,4,9,0,1,1
"Madrid, Comunidad de",7,5,12,3,2,5
Melilla *,,,,,,
"Murcia, Región de",3,3,6,1,1,2
"Navarra, Comunidad Foral de",1,0,1,0,0,0
País Vasco,2,0,2,0,0,0
"Rioja, La",3,1,4,0,0,0
TOTAL,46,28,74,7,11,18
