Enfermedad Rara,FALLECIDOS,,
,Hombre,Mujer,Total
Ataxia de Friedreich,74,70,144
Atrofia Muscular Espinal Proximal,68,59,127
Complejo Esclerosis Tuberosa,52,53,105
Displasia Renal,27,23,50
Distrofia Miotónica de Steinert,508,381,889
Enfermedad de Fabry,26,17,43
Enfermedad de Gaucher,7,7,14
Enfermedad de Huntington,383,416,799
Enfermedad de Niemann Pick,7,11,18
Enfermedad de Rendu Osler,130,124,254
Enfermedad de Wilson,29,25,54
Esclerosis Lateral Amiotrófica,2.557,2.221,4.778
Fenilcetonuria,5,3,8
Fibrosis Quística,122,122,244
Hemofilia A,177,35,212
Osteogénesis Imperfecta,30,31,61
Síndrome de Angelman,5,6,11
Síndrome de Beckwith Wiedemann,7,9,16
Síndrome de Goodpasture,103,80,183
