"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,46,43,89,2,1,3
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",3,1,4,0,0,0
Canarias,3,1,4,0,0,0
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,4,5,9,0,0,0
Catalunya,34,35,69,0,1,1
Ceuta *,,,,,,
Comunitat Valenciana,17,8,25,0,0,0
Extremadura *,,,,,,
Galicia,8,7,15,1,1,2
"Madrid, Comunidad de",32,46,78,1,1,2
Melilla *,,,,,,
"Murcia, Región de",5,10,15,1,0,1
"Navarra, Comunidad Foral de",7,7,14,0,1,1
País Vasco,5,3,8,0,0,0
"Rioja, La",,,,,,
TOTAL,164,166,330,5,6,11
