"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,51,55,106,5,5,10
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",0,0,0,0,0,0
Canarias,0,1,1,0,0,0
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,2,0,2,0,0,0
Catalunya,17,11,28,0,0,0
Ceuta *,,,,,,
Comunitat Valenciana,9,5,14,0,0,0
Extremadura *,,,,,,
Galicia,2,3,5,0,0,0
"Madrid, Comunidad de",59,45,104,1,3,4
Melilla *,,,,,,
"Murcia, Región de",16,7,23,0,0,0
"Navarra, Comunidad Foral de",1,6,7,0,0,0
País Vasco,4,5,9,0,1,1
"Rioja, La",12,6,18,1,0,1
TOTAL,173,144,317,7,9,16
