"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,59,73,132,8,4,12
Aragón,,,,,,
"Asturias, Principado de *",,,,,,
"Balears, Illes",6,1,7,0,1,1
Canarias,1,3,4,0,0,0
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,5,6,11,1,1,2
Catalunya,31,40,71,2,2,4
Ceuta *,,,,,,
Comunitat Valenciana,29,17,46,8,4,12
Extremadura *,,,,,,
Galicia,11,15,26,1,0,1
"Madrid, Comunidad de",26,32,58,3,2,5
Melilla *,,,,,,
"Murcia, Región de",7,7,14,2,2,4
"Navarra, Comunidad Foral de",4,2,6,1,1,2
País Vasco,11,6,17,0,0,0
"Rioja, La",,,,,,
TOTAL,190,202,392,26,17,43
