"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,366,399,765,9,9,18
Aragón,23,34,57,4,2,6
"Asturias, Principado de *",,,,,,
"Balears, Illes",16,17,33,2,2,4
Canarias,29,30,59,2,3,5
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,57,49,106,3,5,8
Catalunya,53,82,135,1,5,6
Ceuta *,,,,,,
Comunitat Valenciana,61,72,133,11,7,18
Extremadura *,,,,,,
Galicia,30,52,82,2,8,10
"Madrid, Comunidad de",176,177,353,11,7,18
Melilla *,0,1,1,0,0,0
"Murcia, Región de",27,31,58,4,3,7
"Navarra, Comunidad Foral de",25,20,45,2,2,4
País Vasco,39,35,74,0,0,0
"Rioja, La",4,1,5,1,0,1
TOTAL,906,1.000,1.906,52,53,105
