"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,83,134,217,20,10,30
Aragón,4,0,4,2,0,2
"Asturias, Principado de *",,,,,,
"Balears, Illes",4,6,10,2,2,4
Canarias,5,6,11,4,0,4
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,23,25,48,10,9,19
Catalunya,46,55,101,3,3,6
Ceuta *,,,,,,
Comunitat Valenciana,24,22,46,10,12,22
Extremadura *,,,,,,
Galicia,11,12,23,8,4,12
"Madrid, Comunidad de",73,63,136,7,22,29
Melilla *,,,,,,
"Murcia, Región de",12,9,21,4,6,10
"Navarra, Comunidad Foral de",10,8,18,2,1,3
País Vasco,4,11,15,0,0,0
"Rioja, La",1,1,2,2,1,3
TOTAL,300,352,652,74,70,144
