"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,130,96,226,5,6,11
Aragón,7,10,17,1,0,1
"Asturias, Principado de *",,,,,,
"Balears, Illes",13,6,19,1,0,1
Canarias,7,19,26,3,1,4
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,20,13,33,4,3,7
Catalunya,63,49,112,2,2,4
Ceuta *,,,,,,
Comunitat Valenciana,53,33,86,3,4,7
Extremadura *,,,,,,
Galicia,15,20,35,4,1,5
"Madrid, Comunidad de",122,93,215,2,6,8
Melilla *,,,,,,
"Murcia, Región de",36,29,65,2,2,4
"Navarra, Comunidad Foral de",9,18,27,2,0,2
País Vasco,16,13,29,0,0,0
"Rioja, La",1,2,3,0,0,0
TOTAL,492,401,893,29,25,54
