"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,98,132,230,14,16,30
Aragón,3,6,9,0,2,2
"Asturias, Principado de *",,,,,,
"Balears, Illes",12,24,36,2,5,7
Canarias,30,56,86,11,13,24
Cantabria *,4,4,8,0,0,0
Castilla-La Mancha *,,,,,,
Castilla y León,45,65,110,24,17,41
Catalunya,111,165,276,8,8,16
Ceuta *,,,,,,
Comunitat Valenciana,44,60,104,12,15,27
Extremadura *,,,,,,
Galicia,28,38,66,25,13,38
"Madrid, Comunidad de",113,154,267,23,22,45
Melilla *,,,,,,
"Murcia, Región de",21,26,47,2,3,5
"Navarra, Comunidad Foral de",9,16,25,6,7,13
País Vasco,50,80,130,1,1,2
"Rioja, La",6,7,13,2,2,4
TOTAL,574,833,1.407,130,124,254
