"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,241,192,433,396,336,732
Aragón,26,16,42,134,115,249
"Asturias, Principado de *",3,1,4,0,0,0
"Balears, Illes",32,12,44,88,60,148
Canarias,31,14,45,141,115,256
Cantabria *,1,0,1,0,0,0
Castilla-La Mancha *,29,14,43,3,1,4
Castilla y León,107,72,179,303,247,550
Catalunya,124,139,263,89,95,184
Ceuta *,,,,,,
Comunitat Valenciana,117,84,201,479,450,929
Extremadura *,13,12,25,0,0,0
Galicia,51,23,74,123,95,218
"Madrid, Comunidad de",261,213,474,537,495,1032
Melilla *,2,0,2,0,0,0
"Murcia, Región de",41,26,67,105,97,202
"Navarra, Comunidad Foral de",23,21,44,87,61,148
País Vasco,81,50,131,20,11,31
"Rioja, La",10,6,16,52,43,95
TOTAL,1.193,895,2.088,2.557,2.221,4.778
