"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,165,153,318,3,6,9
Aragón,9,4,13,0,0,0
"Asturias, Principado de *",,,,,,
"Balears, Illes",9,8,17,1,0,1
Canarias,7,15,22,2,0,2
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,13,16,29,2,2,4
Catalunya,57,71,128,1,2,3
Ceuta *,1,0,1,0,0,0
Comunitat Valenciana,28,11,39,3,2,5
Extremadura *,,,,,,
Galicia,10,7,17,0,1,1
"Madrid, Comunidad de",100,94,194,5,8,13
Melilla *,0,1,1,0,0,0
"Murcia, Región de",10,13,23,2,1,3
"Navarra, Comunidad Foral de",8,7,15,2,1,3
País Vasco,6,5,11,0,0,0
"Rioja, La",3,2,5,0,0,0
TOTAL,426,407,833,21,23,44
