"Comunidad Autónoma de
residencia",VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,60,71,131,13,20,33
Aragón,0,1,1,4,0,4
"Asturias, Principado de *",,,,,,
"Balears, Illes",0,2,2,1,2,3
Canarias,1,5,6,4,3,7
Cantabria *,,,,,,
Castilla-La Mancha *,,,,,,
Castilla y León,9,5,14,4,2,6
Catalunya,20,20,40,8,5,13
Ceuta *,,,,,,
Comunitat Valenciana,13,17,30,13,5,18
Extremadura *,,,,,,
Galicia,4,3,7,2,2,4
"Madrid, Comunidad de",50,85,135,50,35,85
Melilla *,,,,,,
"Murcia, Región de",7,5,12,1,2,3
"Navarra, Comunidad Foral de",1,1,2,0,0,0
País Vasco,0,0,0,0,0,0
"Rioja, La",6,3,9,3,4,7
TOTAL,171,218,389,103,80,183
